"IdSensore","NomeTipoSensore","UnitaMisura","Idstazione","NomeStazione","Quota","Provincia","Comune","Storico","DataStart","DataStop","Utm_Nord","UTM_Est","lat","lng","Location"
"17127","Benzene","µg/m³","501","Milano v.Marche","129","MI","Milano","N","13/09/2012",,"5038105","514918","45.49631883","9.19093444","POINT (9.19093444 45.49631883)"
"6691","Ozono","µg/m³","642","Pavia v. Folperti","77","PV","Pavia","N","01/06/2002",,"5004590","512932","45.19468231","9.16464919","POINT (9.16464919 45.19468231)"
"6646","Particolato Totale Sospeso","µg/m³","514","Rho via Buon Gesù","152","MI","Rho","S","11/10/1991","09/06/1999","5041100","503483","45.52342919","9.0446025","POINT (9.0446025 45.52342919)"
"6939","PM10 (SM2005)","µg/m³","600","Lodi v.Vignati","80","LO","Lodi","N","05/12/2000",,"5017060","538042","45.30601628","9.48527511","POINT (9.48527511 45.30601628)"
"6748","Ossidi di Azoto","µg/m³","647","Breno v.Don Putelli","342","BS","Breno","S","09/06/1992","30/07/2018","5090074","600822","45.95683656","10.30106589","POINT (10.30106589 45.95683656)"
"5539","Biossido di Azoto","µg/m³","536","Arese v. Matteotti","157","MI","Arese","S","16/10/1991","30/07/2018","5043325","506302","45.54343664","9.08072867","POINT (9.08072867 45.54343664)"
"5597","Biossido di Azoto","µg/m³","594","Bergamo v.Goisis","290","BG","Bergamo","S","14/09/1996","30/07/2018","5062715","553620","45.71591825","9.68896994","POINT (9.68896994 45.71591825)"
"5531","Biossido di Azoto","µg/m³","528","Milano Verziere","116","MI","Milano","N","24/11/1988",,"5034443","515270","45.46334886","9.19532511","POINT (9.19532511 45.46334886)"
"6655","Particolato Totale Sospeso","µg/m³","555","Busto Arsizio v.Magenta","222","VA","Busto Arsizio","S","25/05/1991","19/06/2006","5050810","488313","45.61073922","8.850121","POINT (8.850121 45.61073922)"
"9999","Biossido di Azoto","µg/m³","683","Cassano d'Adda 2-v.Milano","133","MI","Cassano d'Adda","N","17/02/2006",,"5041567","540293","45.52647322","9.515991","POINT (9.515991 45.52647322)"
"5731","Ozono","µg/m³","566","Olgiate Comasco v.Roma","404","CO","Olgiate Comasco","S","01/08/1996","15/04/2010","5070038","497388","45.78389908","8.96640489","POINT (8.96640489 45.78389908)"
"5670","Biossido di Zolfo","µg/m³","584","Bergamo v.Garibaldi","249","BG","Bergamo","N","16/06/1994",,"5060449","551482","45.69568669","9.66126061","POINT (9.66126061 45.69568669)"
"5949","Ozono","µg/m³","625","Casalmaggiore v.Volta","23","CR","Casalmaggiore","S","19/05/1996","21/02/2007","4981793","612537","44.98066517","10.42738161","POINT (10.42738161 44.98066517)"
"5599","Biossido di Azoto","µg/m³","596","Osio Sotto v.per Levate","182","BG","Osio Sotto","N","06/04/2000",,"5052072","547691","45.62055568","9.61173782","POINT (9.61173782 45.62055568)"
"9998","Benzene","µg/m³","683","Cassano d'Adda 2-v.Milano","133","MI","Cassano d'Adda","S","17/02/2006","20/02/2024","5041567","540293","45.52647322","9.515991","POINT (9.515991 45.52647322)"
"10449","Particelle sospese PM2.5","µg/m³","560","Varese v.Copelli","383","VA","Varese","N","01/09/2009",,"5073728","486035","45.8169745","8.82024911","POINT (8.82024911 45.8169745)"
"5743","Ozono","µg/m³","569","Sondrio v.Mazzini","307","SO","Sondrio","S","01/11/1993","19/05/2003","5113078","567173","46.16797103","9.87014581","POINT (9.87014581 46.16797103)"
"6218","Ossidi di Azoto","µg/m³","583","Bergamo v.Meucci","249","BG","Bergamo","N","01/06/1989",,"5059922","550116","45.69104328","9.64366092","POINT (9.64366092 45.69104328)"
