IdSensore,NomeTipoSensore,Idstazione,NomeStazione,Provincia,Comune,lat,lng
17127,Benzene,501,Milano v.Marche,MI,Milano,45.49631883,9.19093444
6691,Ozono,642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
6939,PM10 (SM2005),600,Lodi v.Vignati,LO,Lodi,45.30601628,9.48527511
5531,Biossido di Azoto,528,Milano Verziere,MI,Milano,45.46334886,9.19532511
9999,Biossido di Azoto,683,Cassano d'Adda 2-v.Milano,MI,Cassano d'Adda,45.52647322,9.515991
5670,Biossido di Zolfo,584,Bergamo v.Garibaldi,BG,Bergamo,45.69568669,9.66126061
5599,Biossido di Azoto,596,Osio Sotto v.per Levate,BG,Osio Sotto,45.62055568,9.61173782
10449,Particelle sospese PM2.5,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
6218,Ossidi di Azoto,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
5563,Biossido di Azoto,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
6380,Ossidi di Azoto,572,Morbegno v.Cortivacci,SO,Morbegno,46.135486,9.56624
20685,Ammoniaca,501,Milano v.Marche,MI,Milano,45.49631883,9.19093444
12627,Piombo,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
9991,Ozono,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
6354,Ossidi di Azoto,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
6915,PM10 (SM2005),554,Saronno v.Santuario,VA,Saronno,45.62735705,9.02640138
10273,PM10 (SM2005),705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
6817,Ossidi di Azoto,656,Gambara v.Parma,BS,Gambara,45.24955194,10.29913
20441,Ossidi di Azoto,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
6382,Ossidi di Azoto,569,Sondrio v.Mazzini,SO,Sondrio,46.16797103,9.87014581
10548,PM10 (SM2005),1269,Dalmine v.Verdi,BG,Dalmine,45.64971,9.60123469
9833,Benzene,664,Mantova p.zza Gramsci,MN,Mantova,45.15175186,10.78141717
10166,Benzene,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
9984,Particelle sospese PM2.5,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
12598,Piombo,609,Casirate d'Adda v. Cimitero,BG,Casirate d'Adda,45.49822794,9.55624181
20042,Ammoniaca,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
10070,Biossido di Zolfo,693,Sannazzaro de' Burgondi v.Traversi,PV,Sannazzaro de' Burgondi,45.10277464,8.90418742
12531,PM10 (SM2005),1297,Spinadesco v.Battisti,CR,Spinadesco,45.15047339,9.93059842
10173,PM10 (SM2005),703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
6951,PM10 (SM2005),649,Brescia v.Broletto,BS,Brescia,45.54006456,10.22281989
20197,PM10 (SM2005),598,San Rocco al Porto v.Matteotti,LO,San Rocco al Porto,45.08199189,9.70079278
12637,Nikel,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
6859,Biossido di Azoto,661,Rezzato v.De Gasperi,BS,Rezzato,45.51571417,10.33624003
10279,Biossido di Azoto,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
30163,Biossido di Azoto,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
9918,Ossidi di Azoto,664,Mantova p.zza Gramsci,MN,Mantova,45.15175186,10.78141717
20771,Ammoniaca,683,Cassano d'Adda 2-v.Milano,MI,Cassano d'Adda,45.52647322,9.515991
20596,Particelle sospese PM2.5,517,Turbigo,MI,Turbigo,45.52655611,8.73650211
12570,Particelle sospese PM2.5,561,Como v.Cattaneo,CO,Como,45.81504217,9.06697886
17041,Piombo,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
6705,Monossido di Carbonio,643,Pavia p.zza Minerva,PV,Pavia,45.18633544,9.14667703
9996,Ossidi di Azoto,682,Ferrera Erbognone ENI,PV,Ferrera Erbognone,45.11351117,8.87407772
10290,PM10 (SM2005),706,Lecco v.Sora,LC,Lecco,45.86375372,9.39995481
6782,Monossido di Carbonio,652,Brescia v.Turati,BS,Brescia,45.53953611,10.23178722
20684,Ammoniaca,1374,Monza Parco,MB,Monza,45.603072,9.276156
5750,Ozono,552,Varese v.Vidoletti,VA,Varese,45.83690178,8.80393513
10547,Particelle sospese PM2.5,1269,Dalmine v.Verdi,BG,Dalmine,45.64971,9.60123469
5665,Biossido di Zolfo,595,Filago v.Don Milani,BG,Filago,45.63387247,9.55609572
5738,Ozono,607,Abbadia Cerreto v. Fanfulla,LO,Abbadia Cerreto,45.30950506,9.58580022
10019,Biossido di Azoto,685,Calusco d'Adda v. Caduti sul Lavoro,BG,Calusco d'Adda,45.69043647,9.48426111
6925,PM10 (SM2005),571,Bormio v.Monte Braulio,SO,Bormio,46.46952397,10.37543275
6845,Ossidi di Azoto,659,Odolo v.Praes,BS,Odolo,45.64605175,10.38929672
9855,Ossidi di Azoto,672,Cornale v.Libertà,PV,Cornale,45.04008561,8.91415717
10581,Biossido di Azoto,1274,Perledo P.zza della stazione,LC,Perledo,46.01583272,9.28641942
5586,Biossido di Azoto,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
20754,Benzene,1322,DarfoBT,BS,Darfo Boario Terme,45.87626097,10.17883506
10081,Ozono,695,Ponti sul Mincio v.San Martino,MN,Ponti sul Mincio,45.41277633,10.68336214
5591,Biossido di Azoto,588,Tavernola Bergamasca v.Riva di Sotto,BG,Tavernola Bergamasca,45.71630489,10.04477436
10456,Particelle sospese PM2.5,1265,Lodi S.Alberto,LO,Lodi,45.30278678,9.49528589
5658,Biossido di Zolfo,552,Varese v.Vidoletti,VA,Varese,45.83690178,8.80393513
5827,Monossido di Carbonio,501,Milano v.Marche,MI,Milano,45.49631883,9.19093444
6428,Ossidi di Azoto,633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
12667,Nikel,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
9856,Ozono,672,Cornale v.Libertà,PV,Cornale,45.04008561,8.91415717
20570,Ozono,659,Odolo v.Praes,BS,Odolo,45.64605175,10.38929672
20357,Particelle sospese PM2.5,571,Bormio v.Monte Braulio,SO,Bormio,46.46952397,10.37543275
6338,Ossidi di Azoto,545,Motta Visconti v. De Gasperi,MI,Motta Visconti,45.28196356,8.98857592
10258,Ammoniaca,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,CR,Corte de' Cortesi con Cignone,45.27848997,10.00620528
10083,PM10 (SM2005),695,Ponti sul Mincio v.San Martino,MN,Ponti sul Mincio,45.41277633,10.68336214
5579,Biossido di Azoto,576,Merate v. Madonna di Loreto,LC,Merate,45.69795956,9.40619194
20004,BlackCarbon,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
6248,Ossidi di Azoto,574,Lecco v. Amendola,LC,Lecco,45.85019631,9.39558125
30165,Ozono,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
17126,Benzene,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
20581,BlackCarbon,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
12688,Benzo(a)pirene,633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
10396,Particelle sospese PM2.5,674,Monza v.Machiavelli,MB,Monza,45.574117,9.263808
12610,Piombo,546,Magenta v. F. Turati,MI,Magenta,45.46242074,8.88021388
5989,Benzene,584,Bergamo v.Garibaldi,BG,Bergamo,45.69568669,9.66126061
5700,Biossido di Zolfo,571,Bormio v.Monte Braulio,SO,Bormio,46.46952397,10.37543275
9852,Biossido di Azoto,672,Cornale v.Libertà,PV,Cornale,45.04008561,8.91415717
6803,Ossidi di Azoto,654,Sarezzo v.Minelli,BS,Sarezzo,45.64962671,10.20509022
20156,Ammoniaca,642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
20528,Particelle sospese PM2.5,708,Parona v. della Miseria,PV,Parona,45.28194289,8.75433614
6324,Ossidi di Azoto,531,Pioltello Limito,MI,Pioltello,45.48363242,9.32736196
20874,BlackCarbon,643,Pavia p.zza Minerva,PV,Pavia,45.18633544,9.14667703
20753,PM10 (SM2005),1322,DarfoBT,BS,Darfo Boario Terme,45.87626097,10.17883506
20523,Ammoniaca,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
6959,PM10 (SM2005),565,Cantù v.Meucci,CO,Cantù,45.73083728,9.12573936
10335,PM10 (SM2005),709,Vigevano v.Valletta,PV,Vigevano,45.30361483,8.84480578
6966,Biossido di Zolfo,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
20574,Biossido di Zolfo,545,Motta Visconti v. De Gasperi,MI,Motta Visconti,45.28196356,8.98857592
9969,Biossido di Azoto,679,Valmadrera v.Pozzi,LC,Valmadrera,45.84221272,9.35166247
5611,Biossido di Azoto,608,Codogno v.Trento,LO,Codogno,45.15937678,9.69815314
10458,Biossido di Azoto,1266,Bertonico v.Moro,LO,Bertonico,45.23349689,9.66625758
12663,Cadmio,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
11041,Biossido di Zolfo,674,Monza v.Machiavelli,MB,Monza,45.574117,9.263808
20902,BlackCarbon,664,Mantova p.zza Gramsci,MN,Mantova,45.15175186,10.78141717
5707,Ozono,551,Arconate v. De Gasperi,MI,Arconate,45.54852147,8.84732669
6587,Biossido di Zolfo,574,Lecco v. Amendola,LC,Lecco,45.85019631,9.39558125
17039,Cadmio,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
20034,Biossido di Azoto,693,Sannazzaro de' Burgondi v.Traversi,PV,Sannazzaro de' Burgondi,45.10277464,8.90418742
5557,Biossido di Azoto,554,Saronno v.Santuario,VA,Saronno,45.62735705,9.02640138
12684,Nikel,633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
17285,Ossidi di Azoto,1374,Monza Parco,MB,Monza,45.603072,9.276156
